Age,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,City,State,Personal Loan
-1.7760597730003809,-0.2878897511346577,1.3964575742349858,0.049183271664447165,Undergrad,None,1,0,0,0,PASADENA,CA,0
-1.339787412511924,0.004688248329123786,1.3964575742349858,0.43895428049614466,Graduate,None,0,0,1,0,PASADENA,CA,0
-0.9035150520234673,1.7591643995521205,-0.3463074436607868,0.8578290309699529,Undergrad,>200,0,0,0,0,PASADENA,CA,0
0.7543199178326688,0.6409281315330375,-1.217689952608673,0.711483232324418,Graduate,None,0,0,1,0,PASADENA,CA,0
-0.7290061078280845,1.5127047740103317,-0.3463074436607868,1.6805009108272928,Advanced,>200,0,0,1,0,PASADENA,CA,1
-0.8162605799257758,0.3851395105753538,1.3964575742349858,0.1882953282808619,Advanced,100-199,0,0,0,0,PASADENA,CA,0
0.4053020294419033,0.4928468930741249,-1.217689952608673,-0.18096013499677396,Advanced,None,1,0,1,0,PASADENA,CA,0
1.016083334125743,-0.5798793307116765,0.5250750652870996,-0.10106919589079864,Advanced,100-199,0,0,1,1,PASADENA,CA,0
1.2778467504188171,-0.8553318925277371,-0.3463074436607868,-1.2519605462442265,Undergrad,100-199,0,0,1,0,PASADENA,CA,0
-0.29273374733962765,-0.4759766034474432,-1.217689952608673,-1.2519605462442265,Advanced,100-199,0,0,0,0,PASADENA,CA,0
1.4523556946141998,-1.0394899203238968,-0.3463074436607868,-0.748387802222922,Advanced,None,0,0,0,0,PASADENA,CA,0
1.4523556946141998,0.6719049368828606,0.5250750652870996,-0.9833382633256637,Undergrad,None,0,0,0,0,PASADENA,CA,0
0.05628414105113784,-0.1476556987817872,-1.217689952608673,-0.748387802222922,Advanced,100-199,0,0,1,1,PASADENA,CA,0
-1.339787412511924,1.788157335826392,-0.3463074436607868,1.4556156413116477,Undergrad,None,0,0,1,0,PASADENA,CA,0
-1.8633142450980722,0.4219250242483158,-0.3463074436607868,0.049183271664447165,Advanced,>200,0,0,0,0,PASADENA,CA,0
-0.7290061078280845,0.9376060121790142,0.5250750652870996,-0.8621895374125288,Graduate,None,0,0,1,0,PASADENA,CA,0
-0.46724269153501036,-0.5444235450164678,-1.217689952608673,0.31780555458300963,Graduate,None,0,0,0,1,PASADENA,CA,0
